iter	Passed	Remaining
0	131	131010
1	132	66133
2	134	44555
3	135	33730
4	136	27237
5	138	22896
6	139	19773
7	140	17427
8	141	15594
9	143	14162
10	144	12954
11	145	11947
12	146	11102
13	147	10390
14	148	9775
15	149	9216
16	150	8731
17	152	8309
18	153	7922
19	154	7569
20	155	7249
21	157	6979
22	158	6718
23	159	6480
24	160	6263
25	161	6059
26	162	5864
27	163	5683
28	164	5519
29	165	5365
30	167	5221
31	168	5086
32	169	4958
33	170	4835
34	171	4721
35	172	4616
36	173	4513
37	174	4421
38	175	4335
39	177	4250
40	178	4170
41	179	4096
42	180	4025
43	182	3955
44	183	3893
45	184	3834
46	186	3774
47	187	3719
48	188	3666
49	190	3617
50	191	3568
51	193	3523
52	194	3477
53	196	3435
54	197	3394
55	198	3353
56	200	3315
57	201	3279
58	203	3247
59	205	3215
60	206	3184
61	208	3153
62	210	3126
63	211	3095
64	213	3064
65	214	3033
66	215	3004
67	216	2967
68	217	2940
69	219	2917
70	221	2891
71	222	2865
72	223	2842
73	225	2821
74	226	2797
75	228	2774
76	229	2750
77	230	2729
78	232	2707
79	233	2687
80	235	2669
81	237	2653
82	238	2637
83	240	2619
84	241	2597
85	242	2580
86	243	2558
87	245	2541
88	246	2524
89	248	2512
90	250	2498
91	251	2485
92	253	2469
93	254	2454
94	256	2441
95	257	2427
96	259	2413
97	260	2400
98	262	2387
99	264	2377
100	265	2366
101	266	2348
102	268	2336
103	269	2323
104	271	2311
105	272	2300
106	274	2288
107	275	2276
108	277	2269
109	279	2260
110	281	2251
111	282	2241
112	284	2230
113	285	2219
114	286	2208
115	288	2196
116	289	2184
117	291	2176
118	292	2166
119	294	2158
120	295	2148
121	297	2140
122	298	2127
123	299	2119
124	301	2110
125	302	2100
126	304	2091
127	305	2080
128	307	2073
129	308	2066
130	310	2057
131	311	2049
132	313	2041
133	314	2033
134	316	2025
135	317	2019
136	319	2011
137	321	2005
138	322	1998
139	324	1992
140	325	1985
141	327	1978
142	328	1970
143	330	1962
144	331	1955
145	332	1947
146	334	1940
147	336	1934
148	337	1928
149	339	1921
150	340	1914
151	341	1907
152	343	1901
153	345	1896
154	346	1889
155	347	1882
156	349	1876
157	350	1870
158	352	1864
159	353	1858
160	355	1852
161	357	1848
162	359	1844
163	361	1842
164	363	1837
165	364	1832
166	366	1827
167	368	1823
168	369	1817
169	371	1812
170	372	1808
171	374	1803
172	376	1797
173	377	1792
174	379	1787
175	381	1784
176	382	1779
177	384	1774
178	386	1770
179	387	1765
180	388	1756
181	389	1751
182	391	1746
183	392	1741
184	394	1736
185	395	1731
186	397	1726
187	398	1722
188	400	1717
189	401	1712
190	403	1707
191	404	1701
192	405	1697
193	407	1693
194	409	1690
195	411	1687
196	413	1684
197	414	1680
198	416	1676
199	418	1672
200	419	1668
201	421	1664
202	422	1659
203	424	1654
204	425	1651
205	427	1647
206	428	1642
